ArchiveDate,Adult_Child,HospitalName,0_6_months,6_12_months,12_18_months,18_plus_months,wait_total,care_type,County,Province
1/26/2023,Adult,Bantry General Hospital,527,179,64,2,772,op,Cork,Munster
1/26/2023,Adult,Beaumont Hospital,21651,7237,212,11,29110,op,Dublin,Leinster
1/26/2023,Adult,Cavan General Hospital,3957,2824,268,4,7052,op,Cavan,Ulster
1/26/2023,Adult,Connolly Hospital Blanchardstown,4324,530,54,4,4911,op,Dublin,Leinster
1/26/2023,Adult,Coombe Women and Infants University Hospital,1878,809,329,305,3321,op,Dublin,Leinster
1/26/2023,Adult,Cork University Hospital,13060,6364,4433,7597,31454,op,Cork,Munster
1/26/2023,Adult,Cork University Maternity Hospital,1700,312,48,24,2084,op,Cork,Munster
1/26/2023,Adult,Croom Orthopaedic Hospital,1971,1153,518,632,4274,op,Limerick,Munster
1/26/2023,Adult,Ennis Hospital,447,313,77,24,861,op,Clare,Munster
1/26/2023,Adult,Galway University Hospitals,18224,10002,6535,13465,48226,op,Galway,Connacht
1/26/2023,Adult,Letterkenny University Hospital,7200,2857,1481,3593,15130,op,Donegal,Ulster
1/26/2023,Adult,Louth County Hospital,1988,898,185,105,3176,op,Louth,Leinster
1/26/2023,Adult,Mallow General Hospital,1992,747,240,230,3209,op,Cork,Munster
1/26/2023,Adult,Mater Misericordiae University Hospital,20926,6418,2878,7925,38147,op,Dublin,Leinster
1/26/2023,Adult,Mayo University Hospital,4314,1995,719,1840,8868,op,Mayo,Connacht
1/26/2023,Adult,Mercy University Hospital,2732,1232,597,1761,6322,op,Cork,Munster
1/26/2023,Adult,Midland Regional Hospital Mullingar,3996,2481,1347,1250,9074,op,Westmeath,Leinster
1/26/2023,Adult,Midland Regional Hospital Portlaoise,2159,1230,717,543,4649,op,Laois,Leinster
1/26/2023,Adult,Midland Regional Hospital Tullamore,7265,3757,1046,402,12470,op,Offaly,Leinster
1/26/2023,Adult,Naas General Hospital,5248,2044,875,631,8798,op,Kildare,Leinster
1/26/2023,Adult,National Maternity Hospital (Holles Street),2051,164,11,2,2228,op,Dublin,Leinster
1/26/2023,Adult,National Orthopaedic Hospital Cappagh,2749,923,105,27,3804,op,Dublin,Leinster
1/26/2023,Adult,Nenagh Hospital,316,181,65,23,585,op,Tipperary,Munster
1/26/2023,Adult,Our Lady of Lourdes Hospital Drogheda,6649,3628,805,211,11293,op,Louth,Leinster
1/26/2023,Adult,Our Lady's Hospital Navan,2948,1225,527,1176,5876,op,Meath,Leinster
1/26/2023,Adult,Portiuncula University Hospital,1867,678,258,579,3381,op,Galway,Connacht
1/26/2023,Adult,Roscommon University Hospital,2882,1383,629,1384,6278,op,Roscommon,Connacht
1/26/2023,Adult,Rotunda Hospital,2446,241,2,0,2689,op,Dublin,Leinster
1/26/2023,Adult,Royal Victoria Eye and Ear Hospital,4738,2829,1574,3609,12750,op,Dublin,Leinster
1/26/2023,Adult,Sligo University Hospital,7440,3582,1846,2441,15309,op,Sligo,Connacht
1/26/2023,Adult,South Infirmary Victoria University Hospital,9365,5016,2409,5857,22647,op,Cork,Munster
1/26/2023,Adult,St. Columcille's Hospital,2197,1847,1156,2478,7677,op,Dublin,Leinster
1/26/2023,Adult,St. James's Hospital,14567,4517,1779,1915,22778,op,Dublin,Leinster
1/26/2023,Adult,St. John's Hospital Limerick,608,322,207,289,1426,op,Limerick,Munster
1/26/2023,Adult,St. Luke's General Hospital Kilkenny,3060,1136,116,28,4339,op,Kilkenny,Leinster
1/26/2023,Adult,St. Michael's Hospital,2802,743,189,164,3898,op,Dublin,Leinster
1/26/2023,Adult,St. Vincent's University Hospital,16574,4811,1305,1117,23806,op,Dublin,Leinster
1/26/2023,Adult,Tallaght University Hospital,12544,9741,5557,9359,37201,op,Dublin,Leinster
1/26/2023,Adult,Tipperary University Hospital,1966,819,313,196,3293,op,Tipperary,Munster
1/26/2023,Adult,University Hospital Kerry,4968,1604,860,270,7701,op,Kerry,Munster
1/26/2023,Adult,University Hospital Limerick,13114,6246,3874,5786,29019,op,Limerick,Munster
1/26/2023,Adult,University Hospital Waterford,14854,7860,3779,5578,32070,op,Waterford,Munster
1/26/2023,Adult,Wexford General Hospital,2671,803,114,5,3593,op,Wexford,Leinster
1/26/2023,Child,Beaumont Hospital,62,21,2,0,85,op,Dublin,Leinster
1/26/2023,Child,Cavan General Hospital,893,280,4,2,1178,op,Cavan,Ulster
1/26/2023,Child,Children's Health Ireland,19761,10806,5108,8239,43914,op,Dublin,Leinster
1/26/2023,Child,Coombe Women and Infants University Hospital,25,2,0,0,27,op,Dublin,Leinster
1/26/2023,Child,Cork University Hospital,2850,1493,490,620,5453,op,Cork,Munster
1/26/2023,Child,Cork University Maternity Hospital,43,12,0,0,55,op,Cork,Munster
1/26/2023,Child,Croom Orthopaedic Hospital,134,22,8,9,172,op,Limerick,Munster
1/26/2023,Child,Ennis Hospital,34,4,0,2,39,op,Clare,Munster
1/26/2023,Child,Galway University Hospitals,2852,1478,773,1035,6137,op,Galway,Connacht
1/26/2023,Child,Letterkenny University Hospital,857,295,175,532,1859,op,Donegal,Ulster
1/26/2023,Child,Mallow General Hospital,149,23,2,2,176,op,Cork,Munster
1/26/2023,Child,Mayo University Hospital,644,216,108,189,1157,op,Mayo,Connacht
1/26/2023,Child,Mercy University Hospital,288,56,45,19,407,op,Cork,Munster
1/26/2023,Child,Midland Regional Hospital Mullingar,701,315,158,142,1315,op,Westmeath,Leinster
1/26/2023,Child,Midland Regional Hospital Portlaoise,643,311,113,13,1079,op,Laois,Leinster
1/26/2023,Child,Midland Regional Hospital Tullamore,731,439,223,80,1473,op,Offaly,Leinster
1/26/2023,Child,National Maternity Hospital (Holles Street),58,13,0,0,71,op,Dublin,Leinster
1/26/2023,Child,National Orthopaedic Hospital Cappagh,214,72,7,2,295,op,Dublin,Leinster
1/26/2023,Child,Our Lady of Lourdes Hospital Drogheda,1949,1267,419,102,3736,op,Louth,Leinster
1/26/2023,Child,Portiuncula University Hospital,490,28,18,35,571,op,Galway,Connacht
1/26/2023,Child,Rotunda Hospital,28,4,0,0,32,op,Dublin,Leinster
1/26/2023,Child,Royal Victoria Eye and Ear Hospital,285,116,81,140,622,op,Dublin,Leinster
1/26/2023,Child,Sligo University Hospital,1114,593,126,117,1949,op,Sligo,Connacht
1/26/2023,Child,Small Volume Hospitals,24,6,2,2,33,op,N/A,N/A
