ArchiveDate,Adult_Child,Speciality,care_type,0_6_months,6_12_months,12_18_months,18_plus_months,wait_total
1/26/2023,Adult,Anaesthetics,op,14,4,2,0,21
1/26/2023,Adult,Breast Surgery,op,"2,198",8,0,0,"2,206"
1/26/2023,Adult,Cardio-Thoracic Surgery,op,326,50,10,19,405
1/26/2023,Adult,Cardiology,op,"17,660","9,041","3,670","2,300","32,671"
1/26/2023,Adult,Chemical Pathology,op,46,47,29,2,124
1/26/2023,Adult,Clinical (Medical) Genetics,op,990,811,617,438,"2,856"
1/26/2023,Adult,Clinical Immunology,op,"1,140",666,48,5,"1,859"
1/26/2023,Adult,Clinical Neurophysiology,op,786,569,381,343,"2,079"
1/26/2023,Adult,Dermatology,op,"21,568","8,422","3,069","6,947","40,006"
1/26/2023,Adult,Diabetes Mellitus,op,"1,017",461,213,200,"1,891"
1/26/2023,Adult,Endocrinology,op,"7,472","4,646","2,225","4,157","18,500"
1/26/2023,Adult,Gastro-Enterology,op,"9,365","3,375","1,236","1,387","15,363"
1/26/2023,Adult,Gastro-Intestinal Surgery,op,476,180,24,18,698
1/26/2023,Adult,General Medicine,op,"10,222","5,331","2,250","2,334","20,137"
1/26/2023,Adult,General Surgery,op,"24,875","5,984","2,796","2,285","35,940"
1/26/2023,Adult,Geriatric Medicine,op,"3,142",339,89,106,"3,676"
1/26/2023,Adult,Gynaecology,op,"19,615","5,619","1,218","1,659","28,111"
1/26/2023,Adult,Haematology,op,"5,160","2,053",744,"1,193","9,150"
1/26/2023,Adult,Hepato-Biliary Surgery,op,70,32,8,0,110
1/26/2023,Adult,Infectious Diseases,op,"1,276",60,4,0,"1,340"
1/26/2023,Adult,Maxillo-Facial,op,"1,198",449,323,996,"2,966"
1/26/2023,Adult,Metabolic Medicine,op,135,25,11,14,185
1/26/2023,Adult,Microbiology,op,25,0,0,0,25
1/26/2023,Adult,Nephrology,op,"2,226",588,248,384,"3,446"
1/26/2023,Adult,Neurology,op,"9,411","4,913","2,892","6,148","23,364"
1/26/2023,Adult,Neurosurgery,op,"3,530","1,941","1,064","2,129","8,664"
1/26/2023,Adult,Oncology,op,578,10,0,0,588
1/26/2023,Adult,Ophthalmology,op,"15,127","6,538","3,607","7,974","33,246"
1/26/2023,Adult,Oral Surgery,op,517,281,238,"1,188","2,224"
1/26/2023,Adult,Orthopaedics,op,"31,631","18,467","7,348","7,691","65,137"
1/26/2023,Adult,Otolaryngology (ENT),op,"17,771","9,460","4,664","10,841","42,736"
1/26/2023,Adult,Paediatric Dermatology,op,36,7,0,0,43
1/26/2023,Adult,Paediatric Neurology,op,15,4,4,0,24
1/26/2023,Adult,Paediatrics,op,81,50,31,6,168
1/26/2023,Adult,Pain Relief,op,"5,055","3,286","1,703","4,218","14,262"
1/26/2023,Adult,Pathology,op,50,41,41,42,174
1/26/2023,Adult,Plastic Surgery,op,"7,204","3,324","1,810","4,625","16,963"
1/26/2023,Adult,Psychiatry,op,440,58,7,2,507
1/26/2023,Adult,Radiology,op,15,4,2,0,22
1/26/2023,Adult,Radiotherapy,op,62,0,0,0,62
1/26/2023,Adult,Respiratory Medicine,op,"10,062","4,584","1,647","2,907","19,200"
1/26/2023,Adult,Rheumatology,op,"7,211","3,470","1,583","3,173","15,437"
1/26/2023,Adult,Small Volume Specialities,op,64,30,21,2,117
1/26/2023,Adult,Urology,op,"12,048","5,325","2,623","4,802","24,798"
1/26/2023,Adult,Vascular Surgery,op,"7,001","3,143","1,601","2,298","14,043"
1/26/2023,Child,Cardio-Thoracic Surgery,op,57,4,4,2,67
1/26/2023,Child,Cardiology,op,26,7,2,16,51
1/26/2023,Child,Clinical (Medical) Genetics,op,436,402,298,255,"1,391"
1/26/2023,Child,Clinical Immunology,op,365,127,83,292,867
1/26/2023,Child,Dental Surgery,op,217,92,37,151,497
1/26/2023,Child,Dermatology,op,"1,255",574,277,656,"2,762"
1/26/2023,Child,Developmental Paediatrics,op,319,265,179,332,"1,095"
1/26/2023,Child,Endocrinology,op,19,4,2,0,25
1/26/2023,Child,Gastro-Enterology,op,10,8,2,0,20
1/26/2023,Child,General Medicine,op,31,4,2,0,37
1/26/2023,Child,General Surgery,op,844,334,195,190,"1,563"
1/26/2023,Child,Gynaecology,op,469,145,59,2,675
1/26/2023,Child,Haematology,op,74,12,4,0,90
1/26/2023,Child,Immunology,op,221,54,14,85,374
1/26/2023,Child,Maxillo-Facial,op,83,36,34,49,202
1/26/2023,Child,Neurology,op,29,8,4,2,43
1/26/2023,Child,Ophthalmology,op,"2,244",836,389,914,"4,383"
1/26/2023,Child,Oral Surgery,op,116,49,19,29,213
1/26/2023,Child,Orthopaedics,op,"1,470",701,266,364,"2,801"
1/26/2023,Child,Otolaryngology (ENT),op,"4,067","2,204","1,103","1,697","9,071"
1/26/2023,Child,Paed Cardiology,op,"2,074","1,172",761,150,"4,157"
1/26/2023,Child,Paed Endocrinology,op,511,228,100,66,905
1/26/2023,Child,Paed Gastro-Enterol,op,575,167,94,10,846
1/26/2023,Child,Paed Haematology,op,180,59,8,2,249
1/26/2023,Child,Paed Metabolic Medicine,op,52,8,0,2,62
1/26/2023,Child,Paed Nephrology,op,279,123,21,7,430
1/26/2023,Child,Paed Orthopaedic,op,"1,680","1,024",466,698,"3,868"
1/26/2023,Child,Paediatric Dermatology,op,"2,352","1,640",708,"2,212","6,912"
1/26/2023,Child,Paediatric ENT,op,"2,760","1,363",535,"1,922","6,580"
1/26/2023,Child,Paediatric Infectious Diseases,op,56,12,4,2,74
1/26/2023,Child,Paediatric Neurology,op,867,249,67,2,"1,185"
1/26/2023,Child,Paediatric Neurosurgery,op,35,4,4,0,43
1/26/2023,Child,Paediatric Respiratory Medicine,op,637,428,255,683,"2,003"
1/26/2023,Child,Paediatric Surgery,op,"2,341","1,559",573,178,"4,651"
1/26/2023,Child,Paediatric Urology,op,450,312,213,229,"1,204"
1/26/2023,Child,Paediatrics,op,"12,649","5,241","1,382",190,"19,462"
1/26/2023,Child,Pain Relief,op,18,10,2,2,32
1/26/2023,Child,Plastic Surgery,op,787,365,234,324,"1,710"
1/26/2023,Child,Rheumatology,op,286,240,149,722,"1,397"
1/26/2023,Child,Small Volume Specialities,op,68,17,2,2,89
1/26/2023,Child,Urology,op,898,489,322,308,"2,017"
1/26/2023,Child,Vascular Surgery,op,15,4,0,2,21
1/26/2023,Adult,Anaesthetics,ipdc,64,0,0,0,64
1/26/2023,Adult,Breast Surgery,ipdc,100,56,21,34,211
1/26/2023,Adult,Cardio-Thoracic Surgery,ipdc,255,50,22,26,353
1/26/2023,Adult,Cardiology,ipdc,"2,662",535,88,109,"3,394"
1/26/2023,Adult,Clinical Immunology,ipdc,147,88,5,0,240
1/26/2023,Adult,Dental Surgery,ipdc,48,4,4,2,57
1/26/2023,Adult,Dermatology,ipdc,732,135,48,27,942
1/26/2023,Adult,Endocrinology,ipdc,15,11,2,7,34
1/26/2023,Adult,Gastro-Enterology,ipdc,320,82,27,106,535
1/26/2023,Adult,Gastro-Intestinal Surgery,ipdc,309,127,50,151,637
1/26/2023,Adult,General Medicine,ipdc,198,27,12,4,240
1/26/2023,Adult,General Surgery,ipdc,"8,324","2,474","1,045","1,501","13,344"
1/26/2023,Adult,Gynaecology,ipdc,"3,939","1,203",402,421,"5,965"
1/26/2023,Adult,Haematology,ipdc,31,0,0,2,33
1/26/2023,Adult,Hepato-Biliary Surgery,ipdc,22,6,11,7,45
1/26/2023,Adult,Maxillo-Facial,ipdc,833,354,44,192,"1,423"
1/26/2023,Adult,Nephrology,ipdc,33,2,2,2,38
1/26/2023,Adult,Neurology,ipdc,221,54,6,46,327
1/26/2023,Adult,Neurosurgery,ipdc,355,209,32,32,628
1/26/2023,Adult,Oncology,ipdc,58,2,0,0,60
1/26/2023,Adult,Ophthalmology,ipdc,"6,369","2,065",437,592,"9,463"
1/26/2023,Adult,Oral Surgery,ipdc,173,206,65,158,602
1/26/2023,Adult,Orthopaedics,ipdc,"6,253","1,938",568,"1,127","9,886"
1/26/2023,Adult,Otolaryngology (ENT),ipdc,"2,751","1,218",352,454,"4,775"
1/26/2023,Adult,Pain Relief,ipdc,"2,750","1,340",353,473,"4,916"
1/26/2023,Adult,Plastic Surgery,ipdc,"2,860","1,063",459,946,"5,328"
1/26/2023,Adult,Respiratory Medicine,ipdc,416,231,24,7,678
1/26/2023,Adult,Rheumatology,ipdc,366,105,26,0,497
1/26/2023,Adult,Small Volume Specialties,ipdc,13,8,6,6,32
1/26/2023,Adult,Urology,ipdc,"5,870","1,299",412,712,"8,293"
1/26/2023,Adult,Vascular Surgery,ipdc,"1,179",301,90,121,"1,691"
1/26/2023,Child,Cardio-Thoracic Surgery,ipdc,64,13,2,0,79
1/26/2023,Child,Clinical Immunology,ipdc,190,132,77,5,404
1/26/2023,Child,Dental Surgery,ipdc,145,70,25,57,297
1/26/2023,Child,General Surgery,ipdc,197,58,26,20,301
1/26/2023,Child,Immunology,ipdc,42,40,23,17,122
1/26/2023,Child,Maxillo-Facial,ipdc,100,39,8,13,160
1/26/2023,Child,Ophthalmology,ipdc,423,206,67,43,739
1/26/2023,Child,Oral Surgery,ipdc,30,36,2,2,70
1/26/2023,Child,Orthopaedics,ipdc,216,134,23,28,401
1/26/2023,Child,Otolaryngology (ENT),ipdc,696,139,15,14,864
1/26/2023,Child,Paed Cardiology,ipdc,157,42,14,9,222
1/26/2023,Child,Paed Endocrinology,ipdc,18,4,2,0,24
1/26/2023,Child,Paed Metabolic Medicine,ipdc,12,4,4,2,21
1/26/2023,Child,Paed Orthopaedic,ipdc,356,184,122,180,842
1/26/2023,Child,Paediatric Dermatology,ipdc,15,6,0,0,21
1/26/2023,Child,Paediatric ENT,ipdc,471,143,32,38,684
1/26/2023,Child,Paediatric Neurology,ipdc,14,8,0,0,22
1/26/2023,Child,Paediatric Neurosurgery,ipdc,20,6,2,2,30
1/26/2023,Child,Paediatric Radiology,ipdc,10,14,13,12,49
1/26/2023,Child,Paediatric Respiratory Medicine,ipdc,398,345,189,367,"1,299"
1/26/2023,Child,Paediatric Surgery,ipdc,486,146,44,33,709
